用户名,用户uid,用户ID,粉丝数量,发表时间,视频awemeid,视频url,视频描述,视频时长,点赞数量,收藏数量,评论数量,下载数量,分享数量,总互动量
尘民10086,a1267092927812840,MS4wLjABAAAAPA1IQqxBeuhB6CEMZLGjl08xI3-utbtTPoIsfh0mtxYbwL7RCsqrgQD_TDEaYbQO,125144,2024.03.28,a7351332577988545802,https://www.douyin.com/video/7351332577988545802,队友摆烂不想赢 移动客服强行带你赢 气死你#lol手游华彩迎春,03:28,4016,108,286,0,97,4507
三刀流（国服蛮王）,a97402896886,MS4wLjABAAAA26IQuMHOcQJkmaGXIXRcK-A0znKmZ0HH9m036UwTH0c,26951,2022.07.21,a7122777857218202888,https://www.douyin.com/video/7122777857218202888,当遇到队友摆烂...#lolm #游戏日常 #三刀流 #摆烂 #蛮王,03:03,34,1,9,0,2,46
LOL怀中猫,a1524344340886636,MS4wLjABAAAA2lItLHS4p-UtyqrLY_MN6douzt3-4DEkNsIph4xKObyTFwe0r14RCgWuu0BLQxWv,608,2024.12.27,a7453004675739110665,https://www.douyin.com/video/7453004675739110665,jjking韩服摆烂被追着骂，粗鄙之语的背后竟是一位甜妹 #jjking,02:33,124,6,0,0,76,206
峡谷小靓仔,a99008068217,MS4wLjABAAAA_aFW799tsxJeHsDUR1pRuCzlOmlbCwv21_kScnoWCms,85139,2023.04.07,a7219273859680226564,https://www.douyin.com/video/7219273859680226564,队友选个猫咪打中单摆烂，文森特却高兴坏了：两个辅助不香吗 #lol #文森特 #游戏日常 #小海锤石,05:17,2571,187,92,0,64,2914
林小婵（吐槽）,a567805040922360,MS4wLjABAAAADCp1yrUHHpPVO9zlWJn6fQgQsHsYzXSH8hXl10ExhfU,12425,2024.12.28,a7453437390342868265,https://www.douyin.com/video/7453437390342868265,防摆烂机制竟然是上分利器？ #防摆烂机制 #弃车保帅上分法 #林小婵,01:01,182,14,32,0,115,343
6馍,a3364929163765133,MS4wLjABAAAATu0jfQNyJh68Ni4kqEechncmwIvCjGr6d4fVGEL_SRp_MiTxj8qey0fevTPlSAXz,126385,2024.12.26,a7452508053582155020,https://www.douyin.com/video/7452508053582155020,jjking韩服摆烂被妹子追着加好友狂喷,00:57,1184,67,20,3,420,1694
店长盖伦,a95170156770,MS4wLjABAAAAKiN5sXyHlcKWvGIaZMyO1gfoH6C9drlR9n8I46Vf9_0,1102190,2022.06.07,a7106373625271340295,https://www.douyin.com/video/7106373625271340295,摆烂队友竟然给我道歉,02:57,16315,330,725,33,251,17654
zZZ..,a92763470608,MS4wLjABAAAAOAmwGMAIAQhdbM2LPuYQxRwhWvpxD9nYWmJBP9P2nq4,163,2025.01.08,a7457478206136864035,https://www.douyin.com/video/7457478206136864035,可笑#无畏契约 #摆烂 自诩的正义,01:44,2642,53,524,1,677,3897
猫爷❤️,a2818800969329102,MS4wLjABAAAA9WBp3nUrTtI2zcKyZrVZMN-kxKOEbV-l-nuSF22BTnXH8nSM-Fpa8g8D0Ayx9Uzg,3888,2023.02.04,a7196114197028031778,https://www.douyin.com/video/7196114197028031778,当我学着摆烂的时候，优秀的队友给我上了一课，这才是联盟的魅力吧，无数次反转，如果再给我一次机会，我一定不学人家摆烂，净化游戏环境从我做起，你的对友感动过你吗？#lolm #又菜又爱玩系列 #女生打游戏 #感动 #elo机制,04:00,139,4,167,0,11,321
502你真该死啊,a1546348998169609,MS4wLjABAAAAmgnPOJ_i-nfz84L4rLgsAXi4AdA1gIDfmO8LA-pG8OiE5Mfr57W3SusSDivbULlp,1,2024.12.21,a7450565707881844006,https://www.douyin.com/video/7450565707881844006,耽误各位4分钟时间，孩子破防了。#摆烂队友 #单排上分,02:53,0,0,0,0,0,0
老爹不太老,a2163439301570760,MS4wLjABAAAA7yNgSjkccz15B9CGtierLhTKvGqz9Fbal6Wqz4eyGof4wji4gJVilS5pFzNcJfuC,294252,2023.08.10,a7265660462543408439,https://www.douyin.com/video/7265660462543408439,摆烂队友，真的扛不住，我一个游戏主播都很无奈。 #游戏日常,02:55,96098,2373,27022,0,4232,129725
达令刀塔DOTA2,a1225336881426900,MS4wLjABAAAAB4JnGS5wcPu-9svFzs_70paqjK3AlW-fm-cSH-A88mABTwNMuSPA2YNlUpRSNI7d,8939,2024.12.28,a7453406401918995722,https://www.douyin.com/video/7453406401918995722,劣势局极限翻盘，奇葩队友搞心态，中单战神屠夫挽狂澜 #dota2 #刀塔,10:30,668,72,198,0,46,984
峡谷大食堂,a2211820125568237,MS4wLjABAAAAQ7SXkVx5FiY6tElYPt_1-5qZ6h8oD3C8edbvEcdk15iVgj5105-mFN41XSPmWbll,244876,2022.05.31,a7103894481560243470,https://www.douyin.com/video/7103894481560243470,职业选手西安WE.best排位赛，遭遇万年不遇的奇葩摆烂队友！,04:40,13798,382,9257,571,4635,28643
峡谷教育家（艾曦）,a97024208623,MS4wLjABAAAA3HcLKFm4Zoo-hIuRUUd08OsPaYrv6EVQanb8ZcM15bY,20744,2025.01.12,a7458970528116690185,https://www.douyin.com/video/7458970528116690185,峡谷教育第十五课——《摆烂罪否》，摆烂究竟是如何诞生的。 #2025抖音王者荣耀新春会#王者荣耀艾曦 #峡谷教育家 #育人计划 #雷锋流关羽,06:46,582,21,113,0,188,904
